ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.8619,0.1628,10.1706,0.671,0.3218,9.7783,0.2373,-0.2352,0.5451,0.0245,-0.0021,0.3428,267.0,6.44,3.38,-14.62,296.42,-1.9,-3.89,5.0,41.174,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 23,14,2017-11-09 18:53:26:471
0.0192,0.6512,9.8545,0.7763,0.2858,9.7716,-0.7674,0.3543,0.0222,0.0,-0.0277,-0.3066,291.0,6.88,3.44,-15.25,293.07,-1.83,-4.36,5.0,41.957,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 23,513,2017-11-09 18:53:26:970
0.6512,0.1149,10.2568,0.7008,0.3341,9.7758,0.2172,-0.3653,0.1063,-0.0586,0.0149,0.1852,291.0,7.0,4.25,-17.31,299.08,-1.98,-4.14,5.0,44.152,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 23,1013,2017-11-09 18:53:27:470
0.5746,0.1149,10.0556,0.7196,0.3425,9.7742,-0.3509,0.332,-0.2544,-0.0181,-0.0021,-0.0192,336.0,6.69,4.19,-17.19,299.05,-2.04,-4.27,5.0,42.425,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 23,1514,2017-11-09 18:53:27:971
0.7183,0.6033,9.9599,0.3244,0.6738,9.778,0.3924,-0.2964,-0.0323,-0.0032,-0.0256,-0.0809,378.0,6.63,6.19,-18.5,313.5,-3.94,-1.9,5.0,40.861,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 23,2014,2017-11-09 18:53:28:471
0.8428,0.7566,9.3278,0.1879,0.7436,9.7766,0.8481,-0.245,-0.2959,0.0128,-0.0884,-0.0064,354.0,5.81,5.63,-19.12,314.99,-4.24,-1.16,5.0,42.005,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 23,2514,2017-11-09 18:53:28:971
0.6033,0.7661,9.5768,0.2611,0.6583,9.781,-0.0019,0.6713,-1.681,0.1278,0.016,0.016,411.0,6.38,5.06,-19.75,314.14,-3.87,-1.5,5.0,43.544,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 23,3014,2017-11-09 18:53:29:471
0.68,0.4597,9.9024,0.401,0.6243,9.7785,0.4152,-0.378,0.1724,-0.0032,-0.0192,-0.0937,429.0,6.06,6.25,-21.37,317.35,-3.75,-2.11,5.0,43.098,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 23,3513,2017-11-09 18:53:29:970
1.312,0.1437,10.1897,0.4978,0.5107,9.7806,0.2985,-0.5093,0.6208,-0.0309,0.0192,0.1086,447.0,5.38,7.0,-22.31,323.46,-3.15,-2.79,5.0,42.724,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 23,4014,2017-11-09 18:53:30:471
0.7278,-0.1149,10.477,0.5239,0.5291,9.7783,0.322,0.0368,-0.4352,0.1043,0.0468,0.0138,453.0,6.69,6.5,-22.44,311.15,-3.03,-3.05,5.0,43.4,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 23,4514,2017-11-09 18:53:30:971
